largo_rectangulo,Intento,puntos,lecturas,arbol
0.005000,49,448,21,arboles/arbol_random_str_24.bin
0.005000,50,445,39,arboles/arbol_random_str_24.bin
0.005000,51,438,25,arboles/arbol_random_str_24.bin
0.005000,52,424,32,arboles/arbol_random_str_24.bin
0.005000,53,445,23,arboles/arbol_random_str_24.bin
0.005000,54,425,37,arboles/arbol_random_str_24.bin
0.005000,55,424,26,arboles/arbol_random_str_24.bin
0.005000,56,417,33,arboles/arbol_random_str_24.bin
0.005000,57,483,23,arboles/arbol_random_str_24.bin
0.005000,58,426,25,arboles/arbol_random_str_24.bin
0.005000,59,392,26,arboles/arbol_random_str_24.bin
0.005000,60,415,23,arboles/arbol_random_str_24.bin
0.005000,61,471,36,arboles/arbol_random_str_24.bin
0.005000,62,455,21,arboles/arbol_random_str_24.bin
0.005000,63,394,22,arboles/arbol_random_str_24.bin
0.005000,64,437,33,arboles/arbol_random_str_24.bin
0.005000,65,430,25,arboles/arbol_random_str_24.bin
0.005000,66,410,25,arboles/arbol_random_str_24.bin
0.005000,67,433,35,arboles/arbol_random_str_24.bin
0.005000,68,431,31,arboles/arbol_random_str_24.bin
0.005000,69,417,27,arboles/arbol_random_str_24.bin
0.005000,70,421,19,arboles/arbol_random_str_24.bin
0.005000,71,441,35,arboles/arbol_random_str_24.bin
0.005000,72,408,32,arboles/arbol_random_str_24.bin
0.005000,73,426,22,arboles/arbol_random_str_24.bin
0.005000,74,414,32,arboles/arbol_random_str_24.bin
0.005000,75,391,21,arboles/arbol_random_str_24.bin
0.005000,76,404,31,arboles/arbol_random_str_24.bin
0.005000,77,427,21,arboles/arbol_random_str_24.bin
0.005000,78,429,33,arboles/arbol_random_str_24.bin
0.005000,79,390,30,arboles/arbol_random_str_24.bin
0.005000,80,426,23,arboles/arbol_random_str_24.bin
0.005000,81,461,37,arboles/arbol_random_str_24.bin
0.005000,82,440,34,arboles/arbol_random_str_24.bin
0.005000,83,422,26,arboles/arbol_random_str_24.bin
0.005000,84,414,26,arboles/arbol_random_str_24.bin
0.005000,85,396,29,arboles/arbol_random_str_24.bin
0.005000,86,419,11,arboles/arbol_random_str_24.bin
0.005000,87,393,24,arboles/arbol_random_str_24.bin
0.005000,88,452,31,arboles/arbol_random_str_24.bin
0.005000,89,452,33,arboles/arbol_random_str_24.bin
0.005000,90,367,39,arboles/arbol_random_str_24.bin
0.005000,91,420,26,arboles/arbol_random_str_24.bin
0.005000,92,408,20,arboles/arbol_random_str_24.bin
0.005000,93,405,28,arboles/arbol_random_str_24.bin
0.005000,94,400,36,arboles/arbol_random_str_24.bin
0.005000,95,420,23,arboles/arbol_random_str_24.bin
0.005000,96,425,22,arboles/arbol_random_str_24.bin
0.005000,97,433,24,arboles/arbol_random_str_24.bin
0.005000,98,406,34,arboles/arbol_random_str_24.bin
0.005000,99,418,27,arboles/arbol_random_str_24.bin
0.010000,0,1666,43,arboles/arbol_random_str_24.bin
0.010000,1,1674,34,arboles/arbol_random_str_24.bin
0.010000,2,1678,44,arboles/arbol_random_str_24.bin
0.010000,3,1649,42,arboles/arbol_random_str_24.bin
0.010000,4,1661,37,arboles/arbol_random_str_24.bin
0.010000,5,1685,31,arboles/arbol_random_str_24.bin
0.010000,6,1655,36,arboles/arbol_random_str_24.bin
0.010000,7,1680,41,arboles/arbol_random_str_24.bin
0.010000,8,1676,34,arboles/arbol_random_str_24.bin
0.010000,9,1644,37,arboles/arbol_random_str_24.bin
0.010000,10,1669,38,arboles/arbol_random_str_24.bin
0.010000,11,1635,47,arboles/arbol_random_str_24.bin
0.010000,12,1657,44,arboles/arbol_random_str_24.bin
0.010000,13,1646,55,arboles/arbol_random_str_24.bin
0.010000,14,1691,24,arboles/arbol_random_str_24.bin
0.010000,15,1725,39,arboles/arbol_random_str_24.bin
0.010000,16,1730,39,arboles/arbol_random_str_24.bin
0.010000,17,1630,36,arboles/arbol_random_str_24.bin
0.010000,18,1687,44,arboles/arbol_random_str_24.bin
0.010000,19,1691,43,arboles/arbol_random_str_24.bin
0.010000,20,1713,39,arboles/arbol_random_str_24.bin
0.010000,21,1650,45,arboles/arbol_random_str_24.bin
0.010000,22,1684,42,arboles/arbol_random_str_24.bin
0.010000,23,1575,39,arboles/arbol_random_str_24.bin
0.010000,24,1668,35,arboles/arbol_random_str_24.bin
0.010000,25,1602,22,arboles/arbol_random_str_24.bin
0.010000,26,1606,39,arboles/arbol_random_str_24.bin
0.010000,27,1703,44,arboles/arbol_random_str_24.bin
0.010000,28,1671,42,arboles/arbol_random_str_24.bin
0.010000,29,1719,50,arboles/arbol_random_str_24.bin
0.010000,30,1619,42,arboles/arbol_random_str_24.bin
0.010000,31,1687,48,arboles/arbol_random_str_24.bin
0.010000,32,1704,23,arboles/arbol_random_str_24.bin
0.010000,33,1712,39,arboles/arbol_random_str_24.bin
0.010000,34,1747,35,arboles/arbol_random_str_24.bin
0.010000,35,1719,45,arboles/arbol_random_str_24.bin
0.010000,36,1678,43,arboles/arbol_random_str_24.bin
0.010000,37,1653,42,arboles/arbol_random_str_24.bin
0.010000,38,1711,30,arboles/arbol_random_str_24.bin
0.010000,39,1738,36,arboles/arbol_random_str_24.bin
0.010000,40,1684,41,arboles/arbol_random_str_24.bin
0.010000,41,1655,61,arboles/arbol_random_str_24.bin
0.010000,42,1697,19,arboles/arbol_random_str_24.bin
0.010000,43,1702,38,arboles/arbol_random_str_24.bin
0.010000,44,1683,38,arboles/arbol_random_str_24.bin
0.010000,45,1694,37,arboles/arbol_random_str_24.bin
0.010000,46,1736,43,arboles/arbol_random_str_24.bin
0.010000,47,1678,52,arboles/arbol_random_str_24.bin
0.010000,48,1636,45,arboles/arbol_random_str_24.bin
0.010000,49,1692,45,arboles/arbol_random_str_24.bin
0.010000,50,1701,43,arboles/arbol_random_str_24.bin
0.010000,51,1676,40,arboles/arbol_random_str_24.bin
0.010000,52,1738,46,arboles/arbol_random_str_24.bin
0.010000,53,1743,46,arboles/arbol_random_str_24.bin
0.010000,54,1769,42,arboles/arbol_random_str_24.bin
0.010000,55,1731,39,arboles/arbol_random_str_24.bin
0.010000,56,1683,50,arboles/arbol_random_str_24.bin
0.010000,57,1693,49,arboles/arbol_random_str_24.bin
0.010000,58,1661,44,arboles/arbol_random_str_24.bin
0.010000,59,1585,41,arboles/arbol_random_str_24.bin
0.010000,60,1654,42,arboles/arbol_random_str_24.bin
0.010000,61,1676,37,arboles/arbol_random_str_24.bin
0.010000,62,1729,42,arboles/arbol_random_str_24.bin
0.010000,63,1645,35,arboles/arbol_random_str_24.bin
0.010000,64,1677,44,arboles/arbol_random_str_24.bin
0.010000,65,1719,41,arboles/arbol_random_str_24.bin
0.010000,66,1674,39,arboles/arbol_random_str_24.bin
0.010000,67,1664,55,arboles/arbol_random_str_24.bin
0.010000,68,1691,44,arboles/arbol_random_str_24.bin
0.010000,69,1722,32,arboles/arbol_random_str_24.bin
0.010000,70,1641,48,arboles/arbol_random_str_24.bin
0.010000,71,1664,34,arboles/arbol_random_str_24.bin
0.010000,72,1613,24,arboles/arbol_random_str_24.bin
0.010000,73,1641,47,arboles/arbol_random_str_24.bin
0.010000,74,1677,43,arboles/arbol_random_str_24.bin
0.010000,75,1643,36,arboles/arbol_random_str_24.bin
0.010000,76,1667,27,arboles/arbol_random_str_24.bin
0.010000,77,1643,38,arboles/arbol_random_str_24.bin
0.010000,78,1663,33,arboles/arbol_random_str_24.bin
0.010000,79,1658,53,arboles/arbol_random_str_24.bin
0.010000,80,1686,32,arboles/arbol_random_str_24.bin
0.010000,81,1652,40,arboles/arbol_random_str_24.bin
0.010000,82,1688,40,arboles/arbol_random_str_24.bin
0.010000,83,1672,40,arboles/arbol_random_str_24.bin
0.010000,84,1703,38,arboles/arbol_random_str_24.bin
0.010000,85,1717,33,arboles/arbol_random_str_24.bin
0.010000,86,1629,39,arboles/arbol_random_str_24.bin
0.010000,87,1773,35,arboles/arbol_random_str_24.bin
0.010000,88,1721,36,arboles/arbol_random_str_24.bin
0.010000,89,1705,46,arboles/arbol_random_str_24.bin
0.010000,90,1695,47,arboles/arbol_random_str_24.bin
0.010000,91,1734,49,arboles/arbol_random_str_24.bin
0.010000,92,1727,51,arboles/arbol_random_str_24.bin
0.010000,93,1695,39,arboles/arbol_random_str_24.bin
0.010000,94,1665,37,arboles/arbol_random_str_24.bin
0.010000,95,1697,53,arboles/arbol_random_str_24.bin
0.010000,96,1655,33,arboles/arbol_random_str_24.bin
0.010000,97,1719,41,arboles/arbol_random_str_24.bin
0.010000,98,1681,42,arboles/arbol_random_str_24.bin
0.010000,99,1713,49,arboles/arbol_random_str_24.bin
0.025000,0,10354,117,arboles/arbol_random_str_24.bin
0.025000,1,10420,109,arboles/arbol_random_str_24.bin
0.025000,2,10344,106,arboles/arbol_random_str_24.bin
0.025000,3,10662,110,arboles/arbol_random_str_24.bin
0.025000,4,10356,97,arboles/arbol_random_str_24.bin
0.025000,5,10575,131,arboles/arbol_random_str_24.bin
0.025000,6,10511,110,arboles/arbol_random_str_24.bin
0.025000,7,10475,111,arboles/arbol_random_str_24.bin
0.025000,8,10603,96,arboles/arbol_random_str_24.bin
0.025000,9,10514,109,arboles/arbol_random_str_24.bin
0.025000,10,10528,101,arboles/arbol_random_str_24.bin
0.025000,11,10534,106,arboles/arbol_random_str_24.bin
0.025000,12,10411,91,arboles/arbol_random_str_24.bin
0.025000,13,10698,99,arboles/arbol_random_str_24.bin
0.025000,14,10496,98,arboles/arbol_random_str_24.bin
0.025000,15,10490,112,arboles/arbol_random_str_24.bin
0.025000,16,10448,107,arboles/arbol_random_str_24.bin
0.025000,17,10442,100,arboles/arbol_random_str_24.bin
0.025000,18,10507,109,arboles/arbol_random_str_24.bin
0.025000,19,10499,109,arboles/arbol_random_str_24.bin
0.025000,20,10561,103,arboles/arbol_random_str_24.bin
0.025000,21,10727,105,arboles/arbol_random_str_24.bin
0.025000,22,10406,123,arboles/arbol_random_str_24.bin
0.025000,23,10620,97,arboles/arbol_random_str_24.bin
0.025000,24,10680,99,arboles/arbol_random_str_24.bin
0.025000,25,10412,113,arboles/arbol_random_str_24.bin
0.025000,26,10556,117,arboles/arbol_random_str_24.bin
0.025000,27,10445,104,arboles/arbol_random_str_24.bin
0.025000,28,10386,103,arboles/arbol_random_str_24.bin
0.025000,29,10545,95,arboles/arbol_random_str_24.bin
0.025000,30,10398,109,arboles/arbol_random_str_24.bin
0.025000,31,10419,84,arboles/arbol_random_str_24.bin
0.025000,32,10529,104,arboles/arbol_random_str_24.bin
0.025000,33,10402,118,arboles/arbol_random_str_24.bin
0.025000,34,10517,101,arboles/arbol_random_str_24.bin
0.025000,35,10419,88,arboles/arbol_random_str_24.bin
0.025000,36,10441,123,arboles/arbol_random_str_24.bin
0.025000,37,10495,107,arboles/arbol_random_str_24.bin
0.025000,38,10585,123,arboles/arbol_random_str_24.bin
0.025000,39,10458,96,arboles/arbol_random_str_24.bin
0.025000,40,10408,115,arboles/arbol_random_str_24.bin
0.025000,41,10439,104,arboles/arbol_random_str_24.bin
0.025000,42,10558,107,arboles/arbol_random_str_24.bin
0.025000,43,10605,135,arboles/arbol_random_str_24.bin
0.025000,44,10469,110,arboles/arbol_random_str_24.bin
0.025000,45,10351,109,arboles/arbol_random_str_24.bin
0.025000,46,10496,104,arboles/arbol_random_str_24.bin
0.025000,47,10461,91,arboles/arbol_random_str_24.bin
0.025000,48,10479,115,arboles/arbol_random_str_24.bin
0.025000,49,10603,117,arboles/arbol_random_str_24.bin
0.025000,50,10493,106,arboles/arbol_random_str_24.bin
0.025000,51,10411,112,arboles/arbol_random_str_24.bin
0.025000,52,10573,108,arboles/arbol_random_str_24.bin
0.025000,53,10515,92,arboles/arbol_random_str_24.bin
0.025000,54,10600,108,arboles/arbol_random_str_24.bin
0.025000,55,10405,98,arboles/arbol_random_str_24.bin
0.025000,56,10448,86,arboles/arbol_random_str_24.bin
0.025000,57,10579,104,arboles/arbol_random_str_24.bin
0.025000,58,10543,113,arboles/arbol_random_str_24.bin
0.025000,59,10589,104,arboles/arbol_random_str_24.bin
0.025000,60,10629,100,arboles/arbol_random_str_24.bin
0.025000,61,10378,103,arboles/arbol_random_str_24.bin
0.025000,62,10333,109,arboles/arbol_random_str_24.bin
0.025000,63,10493,108,arboles/arbol_random_str_24.bin
0.025000,64,10530,115,arboles/arbol_random_str_24.bin
0.025000,65,10465,119,arboles/arbol_random_str_24.bin
0.025000,66,10496,79,arboles/arbol_random_str_24.bin
0.025000,67,10368,103,arboles/arbol_random_str_24.bin
0.025000,68,10402,105,arboles/arbol_random_str_24.bin
0.025000,69,10400,112,arboles/arbol_random_str_24.bin
0.025000,70,10357,104,arboles/arbol_random_str_24.bin
0.025000,71,10325,117,arboles/arbol_random_str_24.bin
0.025000,72,10413,110,arboles/arbol_random_str_24.bin
0.025000,73,10447,111,arboles/arbol_random_str_24.bin
0.025000,74,10511,109,arboles/arbol_random_str_24.bin
0.025000,75,10540,112,arboles/arbol_random_str_24.bin
0.025000,76,10500,117,arboles/arbol_random_str_24.bin
0.025000,77,10599,112,arboles/arbol_random_str_24.bin
0.025000,78,10519,104,arboles/arbol_random_str_24.bin
0.025000,79,10555,116,arboles/arbol_random_str_24.bin
0.025000,80,10520,106,arboles/arbol_random_str_24.bin
0.025000,81,10391,108,arboles/arbol_random_str_24.bin
0.025000,82,10691,102,arboles/arbol_random_str_24.bin
0.025000,83,10436,117,arboles/arbol_random_str_24.bin
0.025000,84,10397,108,arboles/arbol_random_str_24.bin
0.025000,85,10437,86,arboles/arbol_random_str_24.bin
0.025000,86,10532,111,arboles/arbol_random_str_24.bin
0.025000,87,10691,128,arboles/arbol_random_str_24.bin
0.025000,88,10543,94,arboles/arbol_random_str_24.bin
0.025000,89,10619,93,arboles/arbol_random_str_24.bin
0.025000,90,10543,109,arboles/arbol_random_str_24.bin
0.025000,91,10405,90,arboles/arbol_random_str_24.bin
0.025000,92,10601,104,arboles/arbol_random_str_24.bin
0.025000,93,10617,130,arboles/arbol_random_str_24.bin
0.025000,94,10469,119,arboles/arbol_random_str_24.bin
0.025000,95,10401,112,arboles/arbol_random_str_24.bin
0.025000,96,10389,100,arboles/arbol_random_str_24.bin
0.025000,97,10435,80,arboles/arbol_random_str_24.bin
0.025000,98,10498,103,arboles/arbol_random_str_24.bin
0.025000,99,10419,124,arboles/arbol_random_str_24.bin
0.050000,0,41692,306,arboles/arbol_random_str_24.bin
0.050000,1,42183,296,arboles/arbol_random_str_24.bin
0.050000,2,42020,309,arboles/arbol_random_str_24.bin
0.050000,3,41711,271,arboles/arbol_random_str_24.bin
0.050000,4,42015,297,arboles/arbol_random_str_24.bin
0.050000,5,42065,306,arboles/arbol_random_str_24.bin
0.050000,6,41792,269,arboles/arbol_random_str_24.bin
0.050000,7,41988,312,arboles/arbol_random_str_24.bin
0.050000,8,42036,303,arboles/arbol_random_str_24.bin
0.050000,9,41960,295,arboles/arbol_random_str_24.bin
0.050000,10,41835,302,arboles/arbol_random_str_24.bin
0.050000,11,42487,278,arboles/arbol_random_str_24.bin
0.050000,12,42159,293,arboles/arbol_random_str_24.bin
0.050000,13,41919,293,arboles/arbol_random_str_24.bin
0.050000,14,42012,313,arboles/arbol_random_str_24.bin
0.050000,15,41975,298,arboles/arbol_random_str_24.bin
0.050000,16,41775,293,arboles/arbol_random_str_24.bin
0.050000,17,41667,302,arboles/arbol_random_str_24.bin
0.050000,18,41961,275,arboles/arbol_random_str_24.bin
